Rang,Land/Gebiet,CPI Wert 2012,Zahl der Umfragen,Standard-abweichung,90 % Vertrauens-intervall,,Umfang,
,,,,,untere Grenze,obere Grenze,Min,Max
123,Mauretanien,31,5,"3,5",25,36,23,42
123,Mosambik,31,7,"1,6",29,34,25,38
123,Sierra Leone,31,8,"1,9",28,34,21,40
123,Vietnam,31,8,"2,5",27,35,21,41
128,Libanon,30,6,"2,3",27,34,23,38
128,Togo,30,5,"3,4",24,35,23,42
130,C?te d?Ivoire,29,8,"2,4",25,33,19,38
130,Nicaragua,29,7,"2,1",26,32,21,37
130,Uganda,29,8,"2,2",25,32,22,38
133,Komoren,28,3,"7,5",15,40,17,42
133,Guyana,28,4,"2,1",25,31,23,32
133,Honduras,28,6,"2,4",24,32,21,35
133,Iran,28,6,"4,6",20,35,19,43
133,Kasachstan,28,8,"4,1",21,35,11,48
133,Russland,28,9,"2,2",25,32,21,43
139,Aserbaidschan,27,6,"2,5",23,31,21,38
139,Kenia,27,8,"2,2",24,31,19,35
139,Nepal,27,5,"2,4",23,31,22,35
139,Nigeria,27,9,"2,7",22,31,17,38
139,Pakistan,27,8,"2,3",23,31,19,38
144,Bangladesch,26,7,"4,1",20,33,21,50
144,Kamerun,26,8,"3,5",20,32,12,41
144,Zentralafrikanische Republik,26,4,"2,4",22,30,22,32
144,Republik Kongo,26,6,"3,3",20,31,19,40
144,Syrien,26,5,"2,7",22,31,19,32
144,Ukraine,26,8,"1,8",24,29,18,32
150,Eritrea,25,4,"9,2",10,40,12,52
150,Guinea-Bissau,25,4,"2,1",22,29,22,31
150,Papua Neuguinea,25,5,"4,2",18,32,11,35
150,Paraguay,25,5,"2,9",20,29,21,36
154,Guinea,24,7,"2,7",19,28,12,32
154,Kirgisistan,24,6,"1,8",21,27,18,32
156,Jemen,23,6,"2,2",20,27,16,31
157,Angola,22,7,"1,8",20,25,17,31
157,Kambodscha,22,7,"3,1",17,27,12,37
157,Tadschikistan,22,5,"3,8",15,28,11,32
160,Demokratische Republik Kongo,21,5,"3,3",16,27,12,32
160,Laos,21,3,"1,3",19,23,19,23
160,Libyen,21,6,"4,0",14,27,2,31
163,?quatorialguinea,20,3,"1,3",18,22,17,22
163,Simbabwe,20,8,"4,3",12,27,0,38
165,Burundi,19,5,"2,8",14,23,12,28
165,Tschad,19,5,"2,5",15,23,12,25
165,Haiti,19,5,"2,8",14,23,11,23
165,Venezuela,19,7,"2,1",15,22,12,25
169,Irak,18,4,"2,3",14,22,11,21
170,Turkmenistan,17,3,"2,9",12,22,11,21
170,Usbekistan,17,6,"2,0",14,20,11,22
172,Myanmar,15,4,"3,7",9,21,6,21
173,Sudan,13,6,"2,9",8,17,0,21
174,Afghanistan,8,3,"3,3",2,13,1,12
174,Nordkorea,8,3,"3,4",2,13,1,12
174,Somalia,8,4,"2,3",4,12,2,12
,,,,,,,,
Vietnam,VNM,AP,2.9,112,0.17,,,
Yemen,YEM,MENA,2.1,164,0.12,,,
Zambia,ZMB,SSA,3.2,91,0.31,,,
Zimbabwe,ZWE,SSA,2.2,154,0.37,,,
